"3.8.1",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.8.1.zip
"3.8.0",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.8.0.zip
"3.7.0",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.7.0.zip
"3.6.3",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.6.3.zip
"3.6.2",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.6.2.zip
"3.6.1",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.6.1.zip
"3.6.0",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.6.0.zip
"3.5.0",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.5.0.zip
"3.4.0",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.4.0.zip
"3.3.1",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.3.1.zip
"3.3.0",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.3.0.zip
"3.2.2",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.2.2.zip
"3.2.1",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.2.1.zip
"3.2.0",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.2.0.zip
"3.1.0",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.1.0.zip
"3.0.5",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.0.5.zip
"3.0.3",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.0.3.zip
"3.0.2",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.0.2.zip
"3.0.1",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.0.1.zip
"3.0.0",http://download.geteventstore.com/binaries/EventStore-OSS-Win-v3.0.0.zip
